"lsoa11","all_gs_access_pct","all_with_row_gs_access_pct","doorstep_gs_access_pct","local_gs_access_pct","neighbourhood_gs_access_pct","combined_std_gs_access_pct","partialcombined_std_gs_access_pct"
"E01023484",1,1,0.383356070941337,0.372442019099591,1,0.251023192360164,0.598908594815825
"E01023485",0.535294117647059,1,0.300980392156863,0.114705882352941,0.226470588235294,0.0950980392156863,0.33921568627451
"E01023486",0.622182146077547,0.999098286744815,0.244364292155095,0.211000901713255,0.117222723174031,0.000901713255184851,0.266907123534716
"E01023487",0.988341968911917,1,0.0699481865284974,0,0.0038860103626943,0,0.0764248704663212
"E01023488",0.75402635431918,1,0.294289897510981,0.00146412884333821,0.089311859443631,0.00146412884333821,0.339677891654466
"E01023489",0.397153945666235,1,0.0892626131953428,0,0,0,0.125485122897801
"E01023490",0.626283367556468,0.862422997946612,0.00616016427104723,0,0.0718685831622177,0,0.00616016427104723
"E01023491",0.0383275261324042,0.98780487804878,0.0958188153310105,0,0,0,0.123693379790941
"E01023492",0.336353340883352,1,0.0520951302378256,0.116647791619479,0.336353340883352,0.0317100792751982,0.171007927519819
"E01023493",0.357628765792031,0.997084548104956,0.189504373177843,0.183673469387755,0.19533527696793,0.0932944606413994,0.246841593780369
"E01023494",0.437235543018336,0.741889985895628,0.115655853314528,0,0,0,0.159379407616361
"E01023495",0.608938547486033,0.988826815642458,0.130353817504655,0.0707635009310987,0,0,0.162011173184358
"E01023496",0.0433962264150943,0.994339622641509,0.316981132075472,0.0207547169811321,0.0377358490566038,0.00943396226415094,0.375471698113208
"E01023497",0.00409276944065484,0.99181446111869,0.00272851296043656,0.00136425648021828,0.00136425648021828,0.00136425648021828,0.00545702592087312
"E01023498",0.650593471810089,0.938427299703264,0.0207715133531157,0,0,0,0.0244807121661721
"E01023499",0.00315126050420168,0.988445378151261,0.16281512605042,0,0.00315126050420168,0,0.158613445378151
"E01023500",0.963072378138848,0.998522895125554,0.0679468242245199,0.162481536189069,0.963072378138848,0.100443131462334,0.175775480059084
"E01023501",0.293491124260355,0.849704142011834,0,0,0.293491124260355,0,0
"E01023502",0.502857142857143,1,0.170285714285714,0,0.502857142857143,0,0.205714285714286
"E01023503",1,1,0.212574850299401,0.232035928143713,1,0.0988023952095808,0.416167664670659
"E01023504",0.816753926701571,1,0.240837696335079,0.383944153577661,0.0087260034904014,0,0.2478184991274
"E01023505",0.887728459530026,1,0,0,0,0,0
"E01023506",0,1,0.0726744186046512,0,0,0,0.101744186046512
"E01023507",0.603960396039604,1,0.226308345120226,0.00848656294200849,0.0523338048090523,0.00424328147100424,0.28005657708628
"E01023508",0.790774299835255,1,0.398682042833608,0.378912685337727,0.200988467874794,0.108731466227348,0.446457990115321
"E01023509",0.677224736048265,1,0.0105580693815988,0,0,0,0.00754147812971342
"E01023510",0.901306240928882,1,0.110304789550073,0.0667634252539913,0.701015965166909,0.0145137880986938,0.175616835994194
"E01023511",0.599607458292444,1,0,0,0.386653581943081,0,0
"E01023512",0.997927461139896,1,0.00725388601036269,0,0.0797927461139896,0,0.0103626943005181
"E01023513",0.991961414790997,1,0.257234726688103,0,0,0,0.281350482315113
"E01023514",0.992914083259522,1,0.0389725420726306,0,0.620017714791851,0,0.0460584588131089
